epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,2662.33,2.48685,1.37507,0.87998,0.63486,0.41864,0.47239,0.18308,2.34487,1.24432,0.86801,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
41,2723.7,2.46617,1.36262,0.88207,0.62864,0.42881,0.47957,0.1846,2.33497,1.25016,0.86847,0.0208615,0.00695385,0.0208615,0.00695385,0.0208615,0.00695385,0.0208615,0.00695385
42,2785.72,2.45978,1.35323,0.87957,0.6371,0.42294,0.47756,0.18491,2.34243,1.25742,0.86832,0.0206331,0.00687769,0.0206331,0.00687769,0.0206331,0.00687769,0.0206331,0.00687769
43,2847.36,2.45614,1.34834,0.88048,0.63436,0.42895,0.47817,0.18629,2.33568,1.23016,0.86586,0.0204046,0.00680154,0.0204046,0.00680154,0.0204046,0.00680154,0.0204046,0.00680154
44,2909.27,2.46156,1.35136,0.87774,0.63347,0.4261,0.48146,0.18851,2.33235,1.23168,0.86494,0.0201762,0.00672538,0.0201762,0.00672538,0.0201762,0.00672538,0.0201762,0.00672538
45,2970.8,2.4742,1.35815,0.87695,0.62316,0.42988,0.47843,0.18685,2.33645,1.23712,0.8649,0.0199477,0.00664923,0.0199477,0.00664923,0.0199477,0.00664923,0.0199477,0.00664923
46,3034.33,2.44283,1.34013,0.87987,0.63041,0.43124,0.48309,0.18983,2.33295,1.23301,0.86522,0.0197192,0.00657308,0.0197192,0.00657308,0.0197192,0.00657308,0.0197192,0.00657308
47,3098.9,2.45726,1.34941,0.87937,0.62143,0.43081,0.4812,0.18768,2.33651,1.23462,0.86468,0.0194908,0.00649692,0.0194908,0.00649692,0.0194908,0.00649692,0.0194908,0.00649692
48,3161.14,2.44982,1.33752,0.87304,0.63433,0.43554,0.48619,0.18999,2.3254,1.2278,0.8633,0.0192623,0.00642077,0.0192623,0.00642077,0.0192623,0.00642077,0.0192623,0.00642077
49,3221.89,2.45921,1.34423,0.87421,0.64175,0.42609,0.48392,0.1907,2.31519,1.22544,0.86278,0.0190338,0.00634462,0.0190338,0.00634462,0.0190338,0.00634462,0.0190338,0.00634462
50,3282.26,2.45827,1.35597,0.87758,0.63982,0.42867,0.48496,0.18978,2.32331,1.22485,0.86191,0.0188054,0.00626846,0.0188054,0.00626846,0.0188054,0.00626846,0.0188054,0.00626846
51,3343.35,2.44884,1.34129,0.87055,0.63778,0.44033,0.48849,0.19167,2.31251,1.22914,0.8612,0.0185769,0.00619231,0.0185769,0.00619231,0.0185769,0.00619231,0.0185769,0.00619231
52,3404.36,2.43824,1.33609,0.8749,0.63686,0.43779,0.48852,0.19374,2.31694,1.21438,0.86271,0.0183485,0.00611615,0.0183485,0.00611615,0.0183485,0.00611615,0.0183485,0.00611615
53,3465.52,2.43458,1.33367,0.87659,0.65094,0.43239,0.489,0.19367,2.31905,1.22039,0.86031,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
54,3527.59,2.43331,1.32445,0.86922,0.64188,0.43783,0.48994,0.19275,2.3086,1.20824,0.85967,0.0178915,0.00596385,0.0178915,0.00596385,0.0178915,0.00596385,0.0178915,0.00596385
55,3589.38,2.40017,1.30637,0.87508,0.63617,0.43861,0.49338,0.19449,2.30855,1.21223,0.85999,0.0176631,0.00588769,0.0176631,0.00588769,0.0176631,0.00588769,0.0176631,0.00588769
56,3651.31,2.43442,1.31812,0.86838,0.64704,0.4409,0.49478,0.19656,2.30329,1.21098,0.86,0.0174346,0.00581154,0.0174346,0.00581154,0.0174346,0.00581154,0.0174346,0.00581154
57,3713.09,2.42094,1.31577,0.86654,0.65418,0.43768,0.49362,0.19648,2.29631,1.20601,0.85897,0.0172062,0.00573538,0.0172062,0.00573538,0.0172062,0.00573538,0.0172062,0.00573538
58,3778.05,2.43368,1.31749,0.86971,0.6453,0.43869,0.49503,0.19595,2.30386,1.20812,0.86091,0.0169777,0.00565923,0.0169777,0.00565923,0.0169777,0.00565923,0.0169777,0.00565923
59,3840.06,2.40329,1.3032,0.86862,0.64435,0.45021,0.50152,0.19787,2.29425,1.20383,0.85776,0.0167492,0.00558308,0.0167492,0.00558308,0.0167492,0.00558308,0.0167492,0.00558308
60,3902.37,2.42349,1.31574,0.86734,0.64702,0.4374,0.49435,0.19745,2.29392,1.19959,0.85969,0.0165208,0.00550692,0.0165208,0.00550692,0.0165208,0.00550692,0.0165208,0.00550692
61,3964.1,2.42301,1.32001,0.87008,0.64844,0.44365,0.49736,0.19822,2.2884,1.1966,0.85786,0.0162923,0.00543077,0.0162923,0.00543077,0.0162923,0.00543077,0.0162923,0.00543077
62,4025.95,2.41902,1.31338,0.86664,0.64614,0.44405,0.49931,0.19834,2.28335,1.19814,0.85632,0.0160638,0.00535462,0.0160638,0.00535462,0.0160638,0.00535462,0.0160638,0.00535462
63,4087.7,2.39276,1.30188,0.87154,0.63538,0.44448,0.49803,0.19777,2.28862,1.19688,0.85763,0.0158354,0.00527846,0.0158354,0.00527846,0.0158354,0.00527846,0.0158354,0.00527846
64,4150,2.40973,1.30947,0.86551,0.64419,0.44092,0.49895,0.19715,2.29096,1.192,0.85654,0.0156069,0.00520231,0.0156069,0.00520231,0.0156069,0.00520231,0.0156069,0.00520231
65,4212.41,2.40679,1.30471,0.86481,0.64126,0.44942,0.50302,0.20047,2.284,1.19387,0.85599,0.0153785,0.00512615,0.0153785,0.00512615,0.0153785,0.00512615,0.0153785,0.00512615
66,4274.29,2.38554,1.29462,0.86862,0.64713,0.44649,0.50299,0.20046,2.27914,1.19567,0.85584,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
67,4336.62,2.38667,1.29303,0.86466,0.6519,0.44375,0.50301,0.20113,2.28176,1.19418,0.85591,0.0149215,0.00497385,0.0149215,0.00497385,0.0149215,0.00497385,0.0149215,0.00497385
68,4399,2.39374,1.28996,0.86338,0.65821,0.44943,0.50631,0.20265,2.27283,1.18923,0.85482,0.0146931,0.00489769,0.0146931,0.00489769,0.0146931,0.00489769,0.0146931,0.00489769
69,4465.5,2.39104,1.29334,0.86344,0.65435,0.44735,0.50296,0.20117,2.27068,1.18343,0.85437,0.0144646,0.00482154,0.0144646,0.00482154,0.0144646,0.00482154,0.0144646,0.00482154
70,4526.59,2.39612,1.29543,0.86143,0.65313,0.44563,0.50389,0.20031,2.27884,1.19081,0.85495,0.0142362,0.00474538,0.0142362,0.00474538,0.0142362,0.00474538,0.0142362,0.00474538
71,4587.47,2.38674,1.28817,0.86116,0.64656,0.45336,0.5086,0.203,2.27184,1.18632,0.85456,0.0140077,0.00466923,0.0140077,0.00466923,0.0140077,0.00466923,0.0140077,0.00466923
72,4649.27,2.3939,1.2934,0.86401,0.65239,0.44814,0.50661,0.2019,2.28172,1.18912,0.85456,0.0137792,0.00459308,0.0137792,0.00459308,0.0137792,0.00459308,0.0137792,0.00459308
73,4710.76,2.36893,1.27109,0.86306,0.65417,0.45114,0.50867,0.2026,2.27894,1.18726,0.8552,0.0135508,0.00451692,0.0135508,0.00451692,0.0135508,0.00451692,0.0135508,0.00451692
74,4772.33,2.39524,1.27913,0.85925,0.65169,0.45071,0.50852,0.20338,2.26871,1.18102,0.85423,0.0133223,0.00444077,0.0133223,0.00444077,0.0133223,0.00444077,0.0133223,0.00444077
75,4833.19,2.3677,1.27516,0.86114,0.65272,0.45558,0.51127,0.20372,2.26954,1.18052,0.85344,0.0130938,0.00436462,0.0130938,0.00436462,0.0130938,0.00436462,0.0130938,0.00436462
76,4894.65,2.34675,1.25926,0.86559,0.65235,0.45081,0.51048,0.20391,2.25985,1.17737,0.8522,0.0128654,0.00428846,0.0128654,0.00428846,0.0128654,0.00428846,0.0128654,0.00428846
77,4955.76,2.38232,1.28334,0.85711,0.66329,0.44856,0.51087,0.20431,2.26082,1.17611,0.85285,0.0126369,0.00421231,0.0126369,0.00421231,0.0126369,0.00421231,0.0126369,0.00421231
78,5017.26,2.35942,1.26615,0.86133,0.66386,0.45525,0.51369,0.20432,2.26108,1.17475,0.85216,0.0124085,0.00413615,0.0124085,0.00413615,0.0124085,0.00413615,0.0124085,0.00413615
79,5077.89,2.36188,1.2698,0.86054,0.66363,0.45422,0.512,0.20501,2.26098,1.17241,0.85134,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
80,5138.92,2.35687,1.26738,0.85921,0.66207,0.45472,0.51404,0.20562,2.25662,1.17613,0.85102,0.0119515,0.00398385,0.0119515,0.00398385,0.0119515,0.00398385,0.0119515,0.00398385
81,5200.08,2.36176,1.26121,0.85595,0.66536,0.45491,0.51402,0.20611,2.25609,1.17364,0.85104,0.0117231,0.00390769,0.0117231,0.00390769,0.0117231,0.00390769,0.0117231,0.00390769
82,5261.66,2.37718,1.27389,0.85454,0.66022,0.45186,0.51302,0.20566,2.26088,1.17626,0.85159,0.0114946,0.00383154,0.0114946,0.00383154,0.0114946,0.00383154,0.0114946,0.00383154
83,5325.54,2.34305,1.25355,0.85696,0.65991,0.45365,0.51225,0.20634,2.25485,1.17145,0.85122,0.0112662,0.00375538,0.0112662,0.00375538,0.0112662,0.00375538,0.0112662,0.00375538
84,5387.41,2.34707,1.2553,0.85905,0.66876,0.45193,0.51306,0.20679,2.25367,1.17243,0.85133,0.0110377,0.00367923,0.0110377,0.00367923,0.0110377,0.00367923,0.0110377,0.00367923
85,5450.77,2.33874,1.25244,0.85756,0.65941,0.45522,0.51426,0.20751,2.25404,1.17356,0.85129,0.0108092,0.00360308,0.0108092,0.00360308,0.0108092,0.00360308,0.0108092,0.00360308
86,5555.88,2.33621,1.24742,0.85788,0.66656,0.45465,0.51518,0.20744,2.25184,1.16726,0.85099,0.0105808,0.00352692,0.0105808,0.00352692,0.0105808,0.00352692,0.0105808,0.00352692
87,5618.83,2.35918,1.26226,0.85432,0.66956,0.45431,0.5183,0.20843,2.25211,1.16762,0.85147,0.0103523,0.00345077,0.0103523,0.00345077,0.0103523,0.00345077,0.0103523,0.00345077
88,5681.25,2.33718,1.24597,0.85279,0.66732,0.45801,0.5186,0.2083,2.25173,1.16622,0.85048,0.0101238,0.00337462,0.0101238,0.00337462,0.0101238,0.00337462,0.0101238,0.00337462
89,5743.63,2.34343,1.25015,0.8544,0.66177,0.45837,0.51592,0.20736,2.25723,1.17018,0.85024,0.00989538,0.00329846,0.00989538,0.00329846,0.00989538,0.00329846,0.00989538,0.00329846
90,5806.43,2.32091,1.23689,0.8587,0.6576,0.46081,0.51869,0.20838,2.25163,1.16808,0.84983,0.00966692,0.00322231,0.00966692,0.00322231,0.00966692,0.00322231,0.00966692,0.00322231
91,5869.31,2.31654,1.23279,0.85756,0.66236,0.45916,0.51855,0.20857,2.25121,1.16668,0.8496,0.00943846,0.00314615,0.00943846,0.00314615,0.00943846,0.00314615,0.00943846,0.00314615
92,5931.69,2.3323,1.23921,0.85302,0.66259,0.46095,0.51882,0.20882,2.25222,1.16466,0.85021,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
93,5993.66,2.32276,1.23736,0.85451,0.66804,0.46195,0.51928,0.2083,2.25284,1.16501,0.85051,0.00898154,0.00299385,0.00898154,0.00299385,0.00898154,0.00299385,0.00898154,0.00299385
94,6056.36,2.31456,1.22538,0.8525,0.6611,0.46095,0.51868,0.20768,2.24984,1.16329,0.85008,0.00875308,0.00291769,0.00875308,0.00291769,0.00875308,0.00291769,0.00875308,0.00291769
95,6118.43,2.31343,1.23295,0.85356,0.6588,0.46081,0.51825,0.20767,2.25092,1.16333,0.8501,0.00852462,0.00284154,0.00852462,0.00284154,0.00852462,0.00284154,0.00852462,0.00284154
96,6180.11,2.31643,1.23113,0.85295,0.65883,0.45902,0.51712,0.20688,2.25152,1.16697,0.85021,0.00829615,0.00276538,0.00829615,0.00276538,0.00829615,0.00276538,0.00829615,0.00276538
97,6241.65,2.31195,1.23492,0.8529,0.66032,0.45665,0.51555,0.20737,2.25036,1.16704,0.85022,0.00806769,0.00268923,0.00806769,0.00268923,0.00806769,0.00268923,0.00806769,0.00268923
98,6304.23,2.31287,1.22373,0.85105,0.66629,0.45372,0.51672,0.20816,2.24838,1.16429,0.84984,0.00783923,0.00261308,0.00783923,0.00261308,0.00783923,0.00261308,0.00783923,0.00261308
99,6366.33,2.29416,1.22212,0.85105,0.6629,0.46019,0.52047,0.20938,2.24807,1.16172,0.8494,0.00761077,0.00253692,0.00761077,0.00253692,0.00761077,0.00253692,0.00761077,0.00253692
100,6428.55,2.30999,1.22954,0.85084,0.66578,0.4568,0.51967,0.20938,2.24639,1.16163,0.84952,0.00738231,0.00246077,0.00738231,0.00246077,0.00738231,0.00246077,0.00738231,0.00246077
101,6491.22,2.30835,1.21879,0.8481,0.66537,0.45823,0.5196,0.20915,2.24752,1.16246,0.84983,0.00715385,0.00238462,0.00715385,0.00238462,0.00715385,0.00238462,0.00715385,0.00238462
102,6552.24,2.30605,1.21717,0.84848,0.66716,0.45637,0.51891,0.20857,2.24885,1.16124,0.84988,0.00692538,0.00230846,0.00692538,0.00230846,0.00692538,0.00230846,0.00692538,0.00230846
103,6614.57,2.29237,1.21958,0.85058,0.66765,0.4589,0.52066,0.20872,2.24523,1.15966,0.84953,0.00669692,0.00223231,0.00669692,0.00223231,0.00669692,0.00223231,0.00669692,0.00223231
104,6676.5,2.27037,1.19862,0.85668,0.66738,0.46345,0.52162,0.20958,2.24183,1.15666,0.84984,0.00646846,0.00215615,0.00646846,0.00215615,0.00646846,0.00215615,0.00646846,0.00215615
105,6738.47,2.28961,1.20557,0.84907,0.66293,0.46303,0.52125,0.20921,2.24215,1.1564,0.84953,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
106,6800.49,2.29421,1.21462,0.84985,0.66592,0.46262,0.52114,0.20992,2.24271,1.15541,0.84967,0.00601154,0.00200385,0.00601154,0.00200385,0.00601154,0.00200385,0.00601154,0.00200385
107,6862.47,2.28564,1.20437,0.84893,0.66527,0.46197,0.52048,0.2101,2.24516,1.15593,0.84979,0.00578308,0.00192769,0.00578308,0.00192769,0.00578308,0.00192769,0.00578308,0.00192769
108,6925.32,2.26237,1.19098,0.84915,0.6732,0.45759,0.52099,0.21026,2.2469,1.15507,0.84932,0.00555462,0.00185154,0.00555462,0.00185154,0.00555462,0.00185154,0.00555462,0.00185154
109,6987.25,2.27693,1.19854,0.85015,0.67457,0.45838,0.521,0.21009,2.24498,1.1549,0.84911,0.00532615,0.00177538,0.00532615,0.00177538,0.00532615,0.00177538,0.00532615,0.00177538
110,7048.38,2.29015,1.20828,0.84593,0.67555,0.4593,0.52241,0.20999,2.24526,1.15401,0.84886,0.00509769,0.00169923,0.00509769,0.00169923,0.00509769,0.00169923,0.00509769,0.00169923
111,7110.29,2.27306,1.19937,0.84756,0.67021,0.4606,0.5227,0.21026,2.24535,1.15511,0.84892,0.00486923,0.00162308,0.00486923,0.00162308,0.00486923,0.00162308,0.00486923,0.00162308
112,7172.35,2.25636,1.18611,0.84805,0.67346,0.45916,0.52238,0.21005,2.24525,1.15527,0.8488,0.00464077,0.00154692,0.00464077,0.00154692,0.00464077,0.00154692,0.00464077,0.00154692
113,7234.36,2.27145,1.18988,0.84377,0.66993,0.4593,0.52136,0.21006,2.24333,1.15639,0.84858,0.00441231,0.00147077,0.00441231,0.00147077,0.00441231,0.00147077,0.00441231,0.00147077
114,7296.44,2.269,1.19564,0.84784,0.66763,0.4593,0.52009,0.21022,2.24409,1.15643,0.84861,0.00418385,0.00139462,0.00418385,0.00139462,0.00418385,0.00139462,0.00418385,0.00139462
115,7358.51,2.26776,1.19343,0.84289,0.66625,0.45995,0.52086,0.21009,2.24626,1.15603,0.84893,0.00395538,0.00131846,0.00395538,0.00131846,0.00395538,0.00131846,0.00395538,0.00131846
116,7420.1,2.27563,1.19429,0.84602,0.66761,0.46209,0.52182,0.21057,2.24467,1.15601,0.84872,0.00372692,0.00124231,0.00372692,0.00124231,0.00372692,0.00124231,0.00372692,0.00124231
